"prnrnmc"	"isnrnmc"	"prnr"	"prname"	"isnr"	"type"	"council"	"proc"	"counvte"	"proccde"	"issues"	"intro"	"finact"	"pcom"	"pep"	"pat"	"pbe"	"pbu"	"pcr"	"pcy"	"pcz"	"pdk"	"pee"	"pfi"	"pfr"	"pde"	"pel"	"phu"	"pie"	"pit"	"plv"	"plt"	"plu"	"pmt"	"pnl"	"ppl"	"ppt"	"pro"	"psi"	"psk"	"pes"	"pse"	"puk"	"scom"	"sep"	"sat"	"sbe"	"sbu"	"scr"	"scy"	"scz"	"sdk"	"see"	"sfi"	"sfr"	"sde"	"sel"	"shu"	"sie"	"sit"	"slv"	"slt"	"slu"	"smt"	"snl"	"spl"	"spt"	"sro"	"ssi"	"ssk"	"ses"	"sse"	"suk"	"rp"	"out"
69	171	"n99276"	"MEDIApl"	"n99276i3"	"Dec"	"Culture"	"CNS"	"Unan"	2	5	"14-12-99"	"20-12-00"	50	50	0	0					0		0	100	100	0		0	100			100		0		0				100	0	100	70	70	80	80	0		0	0	80	0	80	90	70	80	0	80	70	0	0	70	0	70	0	70	0	0	0	90	90	70		50
69	172	"n99276"	"MEDIApl"	"n99276i4"	"Dec"	"Culture"	"CNS"	"Unan"	2	5	"14-12-99"	"20-12-00"	20	50	50	40					50		50	0	30	50		85	50			100		50		50				0	50	30	50	50	50	50	0		0	0	50	0	50	80	50	80	0	70	50	0	0	80	0	50	0	50	0	0	0	50	50	50		40
69	173	"n99276"	"MEDIApl"	"n99276i5"	"Dec"	"Culture"	"CNS"	"Unan"	2	5	"14-12-1999"	"20-12-00"	42	42	42	42					42		42	42	0	42		42	42			42		42		42				42	42	100	40	40	40	40	0		0	0	40	0	40	40	60	40	0	40	40	0	0	40	0	40	0	40	0	0	0	40	40	60		42
70	174	"a04163"	"ERDF"	"d04167i1"	"Reg"	"General"	"COD"	"QMV"	3	4	2014-07-04	1931-07-06	0	0	0	0			100	100	0	100	0	0	0	0	100	0	100	100	100	0	100	0	100	0		100	100	0	0	0	70	80	30	50	0		80	80	40	70	40	40	40	50	80	50	60	70	70	20	70	30	90	50	0	70	90	40	40	40	0	100
70	175	"a04163"	"ERDF"	"d04167i2"	"Reg"	"General"	"COD"	"QMV"	3	4	2014-07-04	1931-07-06	0	0	0	0			0	100	0	100	0	0	0	0	100	0	0	100	100	0	0	0	100	0		100	100	0	0	0	90	50	40	40	0		60	90	50	80	40	50	50	40	90	30	40	80	80	30	60	40	90	30	0	70	90	40	40	40	0	40
71	176	"d04167"	"ERDF"	"d04167i3"	"Reg"	"General"	"COD"	"QMV"	3	4	2014-07-04	1931-07-06	0		0				100	100	0	100		0	0	100	100		100	100	100		100	0	100	100		100	100	100	0	0	80	0	60	0	0		40	40	60	30	0	60	50	90	30	0	90	30	30	0	30	50	40	70	0	30	30	90	60	60	0	35
71	177	"d04167"	"ERDF"	"d04167i4"	"Reg"	"General"	"COD"	"QMV"	3	4	2014-07-04	1931-07-06	100	100	0	0			0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0		0	0	0	0	0	80	50	30	30	0		40	40	70	40	30	70	30	30	30	20	70	40	40	30	40	70	40	50	0	40	40	50	70	70	0	20
72	178	"d04209"	"worktime"	"d04209i1"	"Dir"	"Employ"	"COD"	"QMV"	3	3	2022-09-04	999	80	100	50	100			100	0	50	0	100	100	0	100	100	50	0	0	50	100	0	50	0	100		0	0	100	100	0	30	90	50	50	0		50	50	30	90	50	80	30	50	50	30	70	30	30	50	90	30	50	50	0	30	60	80	50	90	0	0
72	179	"d04209"	"worktime"	"d04209i2"	"Dir"	"Employ"	"COD"	"QMV"	3	3	2022-09-04	999	100	100					0	0	0	0	0	100	100		0	100	100	0	0	100	0	100	0	0		100	0	0	0	100	30	50	0	0	0		30	50	80	30	50	50	80	0	30	50	30	30	30	70	30	70	30	50	0	50	50	50	30	30	0	0
72	180	"d04209"	"worktime"	"d04209i3"	"Dir"	"Employ"	"COD"	"QMV"	3	3	2022-09-04	999	0	100	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	100	100	80	80	0		80	80	90	90	80	100	100	60	100	90	50	100	80	80	100	90	100	90	0	90	100	80	100	90	0	0
73	181	"d04218"	"LIFE"	"d04218i1"	"Reg"	"Envi"	"COD"	"QMV"	3	3	2029-09-04	"09-06-07"	0	100	70	80				0	80	25	50	100	100	0			25	25	25	80	25	80	25	0		25	25	0	100	70	90	60	75	75	0		0	50	75	50	75	90	90	50	0	0	50	50	50	30	50	75	50	50	0	50	50	50	90	30	100	25
73	182	"d04218"	"LIFE"	"d04218i2"	"Reg"	"Envi"	"COD"	"QMV"	3	3	2029-09-04	"09-06-07"	0	100	50	100			100	100	50	100		50	50	100	100	50	100	100	100		100	50	100	100		100	100	100	50	50	80	90	70	80	0		80	50	50	75	0	60	60	80	80	70	50	80	75	0	75	70	80	90	0	90	75	90	70	50	0	75
73	183	"d04218"	"LIFE"	"d04218i3"	"Reg"	"Envi"	"COD"	"QMV"	3	3	2029-09-04	"09-06-07"	0	100	70	70			0	0	70	0	70	100	100		0			0	0		0	70	0			0	0		100	100	70	50	65	50	0		20	20	50	20	50	90	90	0	20	0	0	20	20	0	20	50	20	0	0	20	20	0	80	30	0	40
74	184	"d04219"	"ENPI"	"d04219i1"	"Reg"	"General"	"COD"	"QMV"	3	3	2029-09-04	"09-11-06"	0		100	0			100	100	0	75	0	100	100	100	100	75	100	100	75	0	100	100	75	0		100	100	100	75	0	80	0	30	70	0		30	30	70	30	70	80	70	60	30	30	80	30	50	30	30	30	50	30	0	30	30	70	50	60		75
74	185	"d04219"	"ENPI"	"d04219i2"	"Reg"	"General"	"COD"	"QMV"	3	3	2029-09-04	"09-11-06"	0	100	0	0					40		40	0	30	0			0	30					30					0	40	30	70	80	20	30	0		0	0	50	0	50	80	70	30	0	0	80	30	0	0	0	0	40	0	0	0	0	80	50	30		30
74	186	"d04219"	"ENPI"	"d04219i3"	"Reg"	"General"	"COD"	"QMV"	3	3	2029-09-04	"09-11-06"	0	0	0	0			80	0	0	0	0	100	0	80	0	0	100	0	0	0	80		0	0		0	0	0	0	0	70	30	30	30	0		50	30	30	60	30	90	80	70	30	30	80	30	80	40	50	0	80	60	0	30	30	50	30	70		25
